Order ID;Order Status;Order Item ID;Order Item Type;Date/Time (UTC);Product ID;Product Name;Quantity;Billing Currency Name;SKU;Test mode;Recurring Payment;License Key;Vola Id
42729519;Processed;55273981;Product;05/27/2026 01:06:18;92373;Vola Plan Medium (Mensual) (payment #5);1;Chilean Peso;;No;Yes;;eae38745-0273-49f3-bbc5-8aec538ec4c9
42724047;Processed;55267219;Product;05/26/2026 17:25:42;133121;Vola invoice;1;Dominican Peso;;No;No;;
42719267;Processed;55261288;Product;05/26/2026 12:16:52;92373;Vola Plan Medium (Mensual);1;Uruguayan peso;;No;No;;8f353663-2301-4907-b9fd-4fdf9ca4d7c1
42704073;Processed;55242426;Product;05/25/2026 13:21:51;92372;Vola Plan Basic (Mensual) (payment #3);1;Chilean Peso;;No;Yes;;7f1efaaf-011c-4f59-ad5d-4828bdb5f430
42692949;Processed;55228841;Product;05/24/2026 18:33:43;92373;Vola Plan Medium (Mensual) (payment #6);1;Chilean Peso;;No;Yes;;8ccf7c89-c2b7-4ef1-acae-96758c06d6b3
42684268;Processed;55218454;Product;05/24/2026 04:05:26;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;b746a381-a189-443e-8d0a-ca6313d0bdc3
42676744;Processed;55209165;Product;05/23/2026 15:59:07;92372;Vola Plan Basic (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;283f01f3-34ee-4a59-a38f-9d619ceb6bad
42675000;Processed;55206976;Product;05/23/2026 13:56:44;92373;Vola Plan Medium (Mensual) (payment #3);1;Chilean Peso;;No;Yes;;bfb239da-cd6e-43e7-9242-7099daab4de5
42664817;Processed;55194672;Product;05/22/2026 20:16:39;92373;Vola Plan Medium (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;417a253c-df3e-4278-a085-0a4308037bad
42663433;Processed;55192945;Product;05/22/2026 18:46:41;92372;Vola Plan Basic (Mensual) (payment #2);1;Colombian Peso;;No;Yes;;21b7045d-81f1-4043-9ac1-33cacecc21a9
42660940;Processed;55189898;Product;05/22/2026 16:06:13;92373;Vola Plan Medium (Mensual) (payment #9);1;Chilean Peso;;No;Yes;;90661112-dff5-4de3-8ea5-b881e9a581c0
42649371;Processed;55175618;Product;05/21/2026 22:38:28;92372;Vola Plan Basic (Mensual) (payment #16);1;Chilean Peso;;No;Yes;;abb9f579-3685-444d-9f20-3dfb594545fb
42648277;Processed;55174292;Product;05/21/2026 21:04:11;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;3a1c066a-5eae-46c7-844d-6622ff8afa20
42644258;Processed;55169373;Product;05/21/2026 16:44:44;92372;Vola Plan Basic (Monthly) (payment #2);1;Chilean Peso;;No;Yes;;b43b21e0-1796-416e-90bb-11c8fd69e17b
42642988;Processed;55167829;Product;05/21/2026 15:33:48;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;e51c2173-7d02-4257-843f-c68ec6afa7b8
42634023;Processed;55156754;Product;05/21/2026 02:29:31;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;3cd06158-26fc-4acc-b33e-f7aa266d024b
42632328;Processed;55154704;Product;05/20/2026 23:41:25;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;58fc7b40-3cc3-48f0-9fe5-68c67c3a17ca
42612990;Processed;55130382;Product;05/19/2026 20:31:08;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;fca90257-21cd-4bff-b06d-c7b1ec9b3172
42594835;Processed;55107823;Product;05/18/2026 19:13:09;92372;Vola Plan Basic (Mensual) (payment #16);1;Chilean Peso;;No;Yes;;153783f3-f641-4b8e-9507-80c5dd3e3e36
42593271;Processed;55105901;Product;05/18/2026 17:26:26;92373;Vola Plan Medium (Mensual);1;United States Dollar;;No;No;;99c9a844-40ee-419b-bca7-f9c0835109a1
42591803;Processed;55104028;Product;05/18/2026 15:58:24;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;61d3d0da-dabb-470e-a89c-9d126d57faf1
42591754;Processed;55103972;Product;05/18/2026 15:55:47;92372;Vola Plan Basic (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;0b0b760d-f417-42b5-913e-a444585621aa
42576017;Processed;55084645;Product;05/17/2026 15:55:15;92373;Vola Plan Medium (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;5e07242c-85a1-47ce-bbeb-2a2dbdc01306
42575063;Processed;55083453;Product;05/17/2026 14:44:28;92372;Vola Plan Basic (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;02e78a71-4b19-441e-8948-0f6cb73a8a0a
42564885;Processed;55070778;Product;05/16/2026 20:08:08;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;5f311fd115c8e
42550563;Processed;55052887;Product;05/15/2026 21:02:00;92372;Vola Plan Basic (Monthly);1;Chilean Peso;;No;No;;0d8403d8-2f91-4043-8851-0088807cacd5
42532453;Processed;55030069;Product;05/14/2026 20:34:38;92373;Vola Plan Medium (Mensual);1;Uruguayan peso;;No;No;;fe2fbcd9-defe-42ef-8051-a6827ba71de4
42510015;Processed;55001990;Product;05/13/2026 16:22:38;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;cbf4df19-7378-4e55-bea2-58ccb36b5b71
42509763;Processed;55001681;Product;05/13/2026 16:09:51;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;c4b359ae-5f52-4fd7-b938-0c7a207bc071
42492733;Processed;54980274;Product;05/12/2026 17:53:54;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;688a8f2c-4539-4a9f-ba3b-678d0053605b
42489736;Processed;54976449;Product;05/12/2026 14:56:43;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;5ad3a983-5022-49e8-aa1c-e05ec84b118b
42487472;Processed;54973575;Product;05/12/2026 12:40:47;92373;Vola Plan Medium (Mensual) (payment #3);1;Chilean Peso;;No;Yes;;5f311fce05a04-aG-3
42478257;Processed;54962022;Product;05/11/2026 21:46:28;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;7b00a22e-7216-4888-b31b-8a41b8052e30
42477243;Processed;54960723;Product;05/11/2026 20:30:58;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;390a2ab4-28c9-4d1f-b9a1-34a9d3c873ae
42475137;Processed;54958068;Product;05/11/2026 18:20:42;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;53cbf8ed-fc4e-43df-b044-265bf7f827dd
42471196;Processed;54953088;Product;05/11/2026 14:40:43;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;647af4fc-18e1-4102-abf8-06ba7d136bf1
42459923;Processed;54938824;Product;05/10/2026 21:23:50;92372;Vola Plan Basic (Mensual) (payment #8);1;Argentine Peso;;No;Yes;;a7fe6ed0-f437-4d59-9b23-254f07fbab49
42458182;Processed;54936684;Product;05/10/2026 19:05:26;92372;Vola Plan Basic (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;49ba6019-5bf9-4f1c-b4b6-1f2edab1154c
42453420;Processed;54930824;Product;05/10/2026 13:19:04;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;e75f87c4-4abd-4da8-b558-e458ca66bc68
42453198;Processed;54930532;Product;05/10/2026 13:04:59;92372;Vola Plan Basic (Mensual) (payment #8);1;Chilean Peso;;No;Yes;;e97a20a1-13a1-4bad-a7f7-bb84239de2da
42442572;Processed;54917328;Product;05/09/2026 18:50:35;92373;Vola Plan Medium (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;db0b86fb-97bc-490d-9876-db2ac8f0ca68
42438129;Processed;54911675;Product;05/09/2026 13:44:48;92373;Vola Plan Medium (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;f6ca5448-965d-4dfb-90b0-13be00f217fa
42427681;Processed;54898587;Product;05/08/2026 20:37:21;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;e3c7f09e-5fba-43d1-81ec-78975d88cc39
42426085;Processed;54896576;Product;05/08/2026 18:50:05;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;ff4de96a-4d61-4104-bf50-9724bcebfd32
42424761;Processed;54894904;Product;05/08/2026 17:33:02;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;04a68278-c8d3-48bd-9dc8-5c54eedc1745
42411779;Processed;54878729;Product;05/07/2026 23:55:56;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;75cab48a-2281-487a-8f0a-02ab4c74c7d0
42405468;Processed;54870729;Product;05/07/2026 16:48:25;92372;Vola Plan Basic (Mensual) (payment #2);1;Chilean Peso;;No;Yes;;6704c65d-7d76-4e4a-9571-6629d2a83f13
42396902;Processed;54859757;Product;05/07/2026 06:56:12;92372;Vola Plan Basic (Mensual) (payment #16);1;Chilean Peso;;No;Yes;;5ee580e1-6ca0-4d56-9ecb-e66d1e822e09
42393458;Processed;54855491;Product;05/07/2026 00:35:45;92372;Vola Plan Basic (Mensual);1;United States Dollar;;No;No;;e92c2a3e-3c1d-443a-ad23-f9f78e473bce
42393426;Processed;54855452;Product;05/07/2026 00:33:00;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;b155ae6a-cdcb-4ce5-ba90-670e65747473
42388388;Processed;54848936;Product;05/06/2026 18:16:17;92373;Vola Plan Medium (Mensual) (payment #3);1;Chilean Peso;;No;Yes;;5f311fce05a04-aG-47
42385951;Processed;54845804;Product;05/06/2026 15:58:10;92373;Vola Plan Medium (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;90352635-7d50-4ac0-93b1-4c2b9b337440
42384298;Processed;54843703;Product;05/06/2026 14:25:09;92372;Vola Plan Basic (Mensual) (payment #5);1;Argentine Peso;;No;Yes;;e8f1e56f-ec2b-42d9-87f5-7ab293ef615c
42383161;Processed;54842269;Product;05/06/2026 13:15:18;92373;Vola Plan Medium (Mensual);1;Chilean Peso;;No;No;;72a73e7c-3234-4643-aa71-3b1e14e54503
42373560;Processed;54830255;Product;05/05/2026 21:58:51;92373;Vola Plan Medium (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;65bc7d85-6791-4986-801a-5489149abb16
42372171;Processed;54828574;Product;05/05/2026 20:23:38;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;62ecef2e-8183-45d0-aa64-803d5b27a03f
42365215;Processed;54819871;Product;05/05/2026 13:26:44;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;b3b5baaf-acb7-4b4a-9430-db0961ece6df
42357844;Processed;54810675;Product;05/05/2026 02:18:51;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;69c466f2-67f8-46d0-82e9-f329f072f425
42354133;Processed;54806027;Product;05/04/2026 21:03:06;92372;Vola Plan Basic (Monthly);1;Argentine Peso;;No;No;;466a8810-4b24-47c4-89a0-71e9836ea3d9
42352936;Processed;54804549;Product;05/04/2026 19:40:10;92372;Vola Plan Basic (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;d3e6e56a-ec65-41ad-8660-89c4a7214c49
42351622;Processed;54802921;Product;05/04/2026 18:20:17;92372;Vola Plan Basic (Mensual);1;Uruguayan peso;;No;No;;fd841569-dd7d-45ce-893c-f39f7145dc4a
42350291;Processed;54801241;Product;05/04/2026 17:00:49;92372;Vola Plan Basic (Mensual) (payment #6);1;Chilean Peso;;No;Yes;;85d460f1-6f17-4cde-9f8e-1821dde9fce9
42339947;Processed;54788293;Product;05/04/2026 03:10:06;92372;Vola Plan Basic (Mensual) (payment #4);1;Uruguayan peso;;No;Yes;;66a77ca5-d022-4b5b-a098-636d02c816e3
42330152;Processed;54775803;Product;05/03/2026 14:16:06;92372;Vola Plan Basic (Mensual) (payment #14);1;Chilean Peso;;No;Yes;;975a1a03-09fc-4ce5-8beb-5da51dc329e6
42323383;Processed;54767314;Product;05/03/2026 01:34:30;92372;Vola Plan Basic (Mensual) (payment #5);1;Chilean Peso;;No;Yes;;957cda93-a96a-4764-b2a7-158b45fa3926
42316408;Processed;54758670;Product;05/02/2026 16:30:05;92372;Vola Plan Basic (Mensual);1;Chilean Peso;;No;No;;e32a0e80-4ed7-4d60-b469-f805e374c34e
42316227;Processed;54758449;Product;05/02/2026 16:17:41;92373;Vola Plan Medium (Mensual) (payment #4);1;Chilean Peso;;No;Yes;;628946a4-deaa-4a81-91e1-4462c1129f2f
